"Date","Post Type","Content","Video Thumbnail","Image","Like","Retweet","Reply"
"2023-07-30T23:46:45.000Z","video","…this is how Olympique Marseille fans have welcomed Iliman Ndiaye ⚪️🔵✨

1am at the airport, incredible passion.

🎥 Exclusive video:","blob:https://twitter.com/5a8d2667-52a3-48f2-98f7-f6641dd9fbd3","","47K","6.1K","481"
"2023-07-30T23:20:00.000Z","image","BREAKING: Ousmane Dembélé says yes to Paris Saint-Germain! Initial green light to the proposal has arrived 🚨🔴🔵

PSG verbally agreed five year deal with Dembélé’s agent.

PSG have sent formal letter to inform Barcelona, now trying best way to close the deal — depends on timing.","","https://pbs.twimg.com/media/F2UjPXiXcAAYfK0?format=jpg&name=small","216K","26K","5.6K"
"2023-07-30T22:53:38.000Z","text","already said here we go, too late now 😀 medical on Monday, 4 year contract… have a nice night 😉","","","537","72","254"
"2023-07-30T22:38:19.000Z","image","Excl: Fenerbahçe are set to sign Mert Muldur from Sassuolo, here we go! Deal in place for €3.5m fee plus add ons to Italian club 🚨🟡🔵🇹🇷 #Fenerbahçe

Contract until June 2027, medical on Monday.","","https://pbs.twimg.com/media/F2UZs-PWoAE0Z_2?format=jpg&name=small","31K","1.3K","701"
"2023-07-30T22:30:36.000Z","image","Chelsea have sealed Axel Disasi deal — documents and paperwork set to be exchanged between clubs 🔵✔️ #CFC

◉ Five year deal, option until 2029.
◉ Chelsea will pay €45m to Monaco.
◉ Medical booked — early next week.
◉ Interest but no bid from United or #NUFC.

Here we go ✔️","","https://pbs.twimg.com/media/F2UX76wWAAA9mQt?format=jpg&name=small","54K","6.5K","998"
"2023-07-30T22:02:51.000Z","image","In case Ousmane Dembélé leaves Barça and accepts Paris Saint-Germain move, part of the budget could be used for the new right back with João Cancelo as top priority 🔵🔴 #FCB

🇪🇸 Iván Fresneda is the other option in Barça list.

…Cancelo has always been and remains the priority.","","https://pbs.twimg.com/media/F2URlcyWUAA753l?format=jpg&name=small","107K","7.2K","1.1K"
"2023-07-30T16:57:33.000Z","image","✅🟡⚫️🇧🇷 #AlIttihadFabinho has completed medical tests as Al Ittihad player, here we go! 🟡⚫️🇸🇦

Liverpool and Al Ittihad are still waiting to sign documents, medical approved as verbal agreement has been reached.

Deal being completed and sealed on three year contract.","","https://pbs.twimg.com/media/F2JLvC3WAAEIMqA?format=jpg&name=small","28K","2K","447"
"2023-07-30T16:27:01.000Z","image","Lesley Ugochukwu has signed contract as new Chelsea player — final decision on loan to Strasbourg will be made in the next days. 🔵🇫🇷 #CFC

Pochettino will decide together with the board on best next step for Ugochukwu.","","https://pbs.twimg.com/media/F2TEuCXXMAEgd6O?format=jpg&name=small","26K","2.2K","248"
"2023-07-30T16:21:40.000Z","video","Allan Saint-Maximin ✖️ Al Ahli 🟢🇸🇦","blob:https://twitter.com/c682d5f5-83e2-4c26-a44a-51071974a839","https://pbs.twimg.com/amplify_video_thumb/1685680319209316352/img/RCfqk8Ym83Iv2fBs.jpg","29K","2.1K","360"
"2023-07-30T16:16:01.000Z","image","Chelsea are on the verge of reaching an agreement with AS Monaco for French CB Axel Disasi, as  has reported 🚨🔵 #CFC

Negotiation at final stages to be sealed next week after Monaco agreed €15m deal for Salisu as new centre back.

Disasi has already accepted.","","https://pbs.twimg.com/media/F2TCM41WYAAstyf?format=jpg&name=small","62K","5.9K","1.3K"
"2023-07-30T15:23:14.000Z","image","Official, confirmed. Allan Saint-Maximin joins Al Ahli on permanent transfer from Newcastle 🟢🇸🇦 #AlAhli

Front three: Bobby Firmino, Riyad Mahrez and Allan Saint-Maximin.","","https://pbs.twimg.com/media/F2S2HtNXwAENRSt?format=jpg&name=small","42K","2.5K","373"
"2023-07-30T15:17:46.000Z","image","David Raya, left out of Brentford squad as expected. 🔴⚪️🇪🇸","","https://pbs.twimg.com/media/F2S03e3WsAAM7IK?format=jpg&name=small","19K","1.3K","246"
"2023-07-30T14:52:13.000Z","image","David de Gea will be key part of the GKs domino in the next days. Understand he has two important bids from Saudi — as talks are ongoing. 🇪🇸🇸🇦

🔴 Bayern also made contact with de Gea’s camp one week ago as Yassine Bounou but Raya was priority target.

Raya-Bayern deal, now off.","","https://pbs.twimg.com/media/F2SvBQJXYAA82nF?format=jpg&name=small","59K","4.1K","496"
"2023-07-30T14:41:21.000Z","image","Iliman Ndiaye to Olympique Marseille, here we go! Deal sealed with Sheffield, done and agreed 🚨⚪️🔵🇸🇳 #OM

Ndiaye will sign until June 2028 as new OM player after long, difficult talks — one more big signing.

Ndiaye will arrive later today for medical tests & contract signing.","","https://pbs.twimg.com/media/F2SsiJHX0AAHn-g?format=jpg&name=small","39K","8.9K","1K"
"2023-07-30T14:35:52.000Z","image","🚨⚪️🔵✅🇸🇳 #OMOlympique Marseille are in advanced negotiations over personal terms with Iliman Ndiaye. 🔵✨

Agreement expected soon as five year deal is being discussed, Ndiaye wants the move.

OM will negotiate with Sheffield about transfer fee. Step by step.

Deal on as revealed last week.","","https://pbs.twimg.com/media/F0x5cG5XwAAuRLn?format=jpg&name=small","16K","2.1K","287"
"2023-07-30T14:20:10.000Z","image","Nottingham Forest will sign only one GK this summer between Matt Turner and Dean Henderson. 🚨🔴🌳 #NFFC

🇺🇸 Forest already asked Arsenal for final conditions of Turner deal — and it’d be a permanent transfer.","","https://pbs.twimg.com/media/F2Snrz0XYAAzNm3?format=jpg&name=small","33K","3.1K","435"
"2023-07-30T13:56:49.000Z","image","David Raya prefers Arsenal move over Bayern. Deal depends on clubs now but Arsenal expected to bid soon in order to accelerate talks. 🚨🔴⚪️ #AFC

Negotiations with Bayern are currently off after loan offered in the morning — not what player/Brentford wanted.","","https://pbs.twimg.com/media/F2SiVkzW8AA915I?format=jpg&name=small","65K","7.6K","1.4K"
"2023-07-30T10:14:37.000Z","image","Yunus Musah to AC Milan, here we go! Agreement sealed between Milan and Valencia on €20m package deal, add ons included 🔴⚫️🇺🇸 #ACMilan

Medical tests next week and five year deal set to be signed.

After Christian Pulisic, Musah will join AC Milan.","","https://pbs.twimg.com/media/F2Rve2mW0AAZg1w?format=jpg&name=small","49K","5.2K","703"
"2023-07-30T09:47:01.000Z","image","Mohammed Salisu to AS Monaco, deal in place and medical booked ⚪️🔴🤝🏻

◉ €15m fee to Southampton.
◉ Four installments agreed.
◉ Player in Monaco in 24h.

Official statement expected next week.","","https://pbs.twimg.com/media/F2RpKnIWIAAC5s_?format=jpg&name=small","41K","2.9K","228"
"2023-07-30T09:13:10.000Z","image","Xavi on Dembélé and PSG intention to trigger the clause: “We can’t control the market. There are clauses and it's the player's decision”. 🔵🔴🇫🇷

“I see him happy — and it's up to him to decide. He's told us he's happy”.","","https://pbs.twimg.com/media/F2RhaoPXIAE3yrT?format=jpg&name=small","27K","1.3K","160"
"2023-07-30T09:10:58.000Z","image","Ante Rebić will land in Istanbul later today in order to be unveiled as new Besiktas player. ⚪️⚫️🦅

Permanent transfer completed from AC Milan.","","https://pbs.twimg.com/media/F2Rg6XaWgAE_OQM?format=jpg&name=small","26K","1.1K","185"
"2023-07-30T08:28:00.000Z","image","Manchester United will start preparing documents and paperwork today in order to get Rasmus Højlund deal signed and sealed early next week 🔴🔒

Højlund already spoke more than three times to Erik ten Hag and he's ready to sign until June 2028 plus option until 2029.","","https://pbs.twimg.com/media/F2PyAuVXMAEBPy3?format=jpg&name=small","70K","6.1K","484"
"2023-07-30T08:00:00.000Z","image","Luis Suarez has agreed with Gremio to terminate his contract in December 2023; despite deal expiring in December 2024. 👋🏻🇧🇷

👚🇺🇸 Inter Miami remain interested in signing Suarez as free agent for 2024, after deal collapsed this summer.","","https://pbs.twimg.com/media/F2PxH2VWMAAeWr7?format=jpg&name=small","69K","3.6K","273"
"2023-07-30T07:27:00.000Z","image","Despite talks with many goalkeepers, Bayern are now 100% focused on David Raya trying to find a way to make it happen with Brentford 🔴🇪🇸

Bayern want new goalkeeper by the end of next week as Yann Sommer is also waiting to join Inter.","","https://pbs.twimg.com/media/F2PwnbKXIAAUvte?format=jpg&name=small","26K","1.4K","174"
"2023-07-30T07:00:00.000Z","image","Inter are prepared to close and seal Lazar Samardzic deal at the beginning of next week after €15m bid to Udinese plus Giovanni Fabbian included with buy back option ⚫️🔵 #Inter 

Samardzic wants Inter and he's pushing since June, five year deal ready. It's really close.","","https://pbs.twimg.com/media/F2PwNPcW4AAoRw_?format=jpg&name=small","18K","1.2K","174"
"2023-07-30T06:40:00.000Z","image","AS Monaco are closing in on Mohammed Salisu deal, as expected. He's in the list since June and agreement in principle with Southampton has been reached ⚪️🔴

Deal expected to be completed next week. Fulham will not proceed in talks after they signed Bassey.","","https://pbs.twimg.com/media/F2Pvr4FXUAAlI6F?format=jpg&name=small","16K","1K","93"
