"Date","Post Type","Content","Video Thumbnail","Image","Like","Retweet","Reply"
"2023-08-30T22:32:52.000Z","text","Thanks to you","","","649","9","17"
"2023-08-30T21:49:39.000Z","image","Ansu Fati to Brighton, here we go! Deal in place between #BHAFC and Barça as revealed earlier, verbal agreeement now done 🚨🔵✨

◉ NO buy option clause.
◉ Loan deal until June 2024.
◉ Main part of salary covered.

Travel booked on Thursday, Brighton want it signed ASAP. ⭐️","","https://pbs.twimg.com/media/F4z32OiWMAA-chm?format=jpg&name=small","","37K","6.8K"
"2023-08-30T21:47:42.000Z","text","🔴🎧 Live now on  to answer questions with 48h left before the end of the window… and Ansu deal madness!

↪️ ","","","9.4K","511","172"
"2023-08-30T20:53:22.000Z","image","BREAKING: Brighton are closing in on Ansu Fati deal as Barça are prepared to accept the formal proposal received on loan 🚨🔵 #BHAFC

Ansu Fati has accepted Brighton as destination — De Zerbi, key factor.

Final green light soon and then here we go ⏳🇪🇸","","https://pbs.twimg.com/media/F4zq92AX0AEPLGU?format=jpg&name=small","121K","19K","4.1K"
"2023-08-30T20:49:30.000Z","image","Brighton have sent an official loan bid to Barcelona for Ansu Fati — understand they’re increasingly confident to make it happen! 🚨🔵 #BHAFC

Tottenham negotiated with Barça today but Brennan Johnson remains priority.

Brighton are advancing fast, as called .","","https://pbs.twimg.com/media/F4zqFNDX0AAD2Or?format=jpg&name=small","51K","5.9K","1.4K"
"2023-08-30T20:43:57.000Z","image","Manchester United preparing formal bid for Sofyan Amrabat, always been top target 🚨🔴 #MUFC

NO loan proposal sent to Fiorentina, just informal talks.

Fiorentina could be open to loan but with obligation to buy based on conditions.

🇲🇦 Sofyan, waiting for Man Utd since June.","","https://pbs.twimg.com/media/F4zozyuXsAAyyom?format=jpg&name=small","65K","8K","2.1K"
"2023-08-30T19:57:02.000Z","text","Medical tests now booked for Clement Lenglet on Thursday — Aston Villa set to unveil French CB in the next 24h 🟣🔵

Loan with NO buy option from Barça. 75% of the salary covered by Villa.","","","24K","1.4K","297"
"2023-08-30T19:17:32.000Z","image","🔴🔵✅🇫🇷 #PSGUnderstand Paris Saint-Germain and RB Leipzig are both showing interest in OL top talent Bradley Barcola. ✨🇫🇷

No decision yet as OL hope to keep the player but both clubs are informed on Barcola situation.","","https://pbs.twimg.com/media/Fz9OQJjXsAMM5-_?format=jpg&name=small","12K","662","227"
"2023-08-30T19:16:38.000Z","image","Frosinone have reached an agreement with Real Madrid for Reinier, here we go! Loan deal valid until June 2024. 🟡🔵

🇧🇷 No buy option clause included, he’ll be back to Real in June.","","https://pbs.twimg.com/media/F4zU0zhX0AAJpdr?format=jpg&name=small","25K","1.7K","316"
"2023-08-30T18:49:01.000Z","image","Inter have just asked Tottenham for the conditions of Tanguy Ndombele loan deal for the final 48h. 🇫🇷

Up to Inter whether they decide to proceed or not, interest is there as  called.

Ndombele is not the only option on the list.

Deal with Genoa 100% collapsed.","","https://pbs.twimg.com/media/F4zOgR8WkAEbHhL?format=jpg&name=small","20K","1.5K","330"
